location_id,borough,borough_id,latitude,longitude,listing_id
5710,Upper East Side,3,40.77125,-73.95355,18345358
5711,Claremont Village,1,40.83791,-73.90089,81754032
5712,Upper East Side,3,40.7609,-73.96471,38575482
5713,East Village,3,40.7291336,-73.9836625,36147561
5714,East Village,3,40.73084856,-73.98378666,46827277
5715,Hell's Kitchen,3,40.7677499,-73.9837835,23536265
5716,Upper East Side,3,40.76049,-73.96167,13494532
5717,Greenwich Village,3,40.73503,-73.99715,68567669
5718,East Village,3,40.72202,-73.98256,3344237
5719,Upper East Side,3,40.77101,-73.95645,67392960
5720,Upper East Side,3,40.77315,-73.95258,78467245
5721,Upper West Side,3,40.79233191,-73.97237808,71447670
5722,Bushwick,2,40.68865,-73.91863,54245960
5723,Midtown,3,40.7604374,-73.96453348,13881920
5724,Lower East Side,3,40.71948,-73.99031,9806606
5725,West Village,3,40.73407,-74.0017,70678576
5726,Upper West Side,3,40.79879,-73.95972,4688418
5727,SoHo,3,40.72215,-74.00416,98332372
5728,East Flatbush,2,40.6431,-73.94375,66594035
5729,East Village,3,40.73034,-73.98399,84271070
5730,Upper East Side,3,40.772404,-73.9544678,43553341
5731,Midtown,3,40.74620889,-73.98759042,43451371
5732,Hell's Kitchen,3,40.7548,-73.9984,12598128
5733,Harlem,3,40.82056831,-73.94699089,587740
5734,Upper East Side,3,40.77077103,-73.95748138,13605192
5735,Bergen Beach,2,40.62639588,-73.91319416,39507510
5736,Midtown,3,40.7589,-73.96085,85220724
5737,Prospect-Lefferts Gardens,2,40.65956048,-73.96119165,88826898
5738,Midtown,3,40.7605,-73.96535,68414332
5739,East Village,3,40.72572,-73.98523,58301830
5740,Upper West Side,3,40.798,-73.96174,39083245
5741,Midtown,3,40.76021,-73.96595,87880204
5742,Midtown,3,40.7593,-73.96153,39850284
5743,Lower East Side,3,40.7193634,-73.985112,66005651
5744,East Village,3,40.72713,-73.97935,13526398
5745,Upper East Side,3,40.76152407,-73.96474914,44149100
5746,Lower East Side,3,40.72043,-73.98155,36456829
5747,Corona,4,40.73957,-73.85553,9007767
5748,West Village,3,40.73703593,-74.00381845,48752329
5749,Bayswater,4,40.60712,-73.75816,82596875
5750,Midtown,3,40.74574386,-73.98978134,47356141
5751,Upper East Side,3,40.77326,-73.95465,86669899
5752,East New York,2,40.66412718,-73.87833654,2784311
5753,Bath Beach,2,40.59909454,-74.00559339,10142499
5754,Ozone Park,4,40.68632,-73.84763,96812874
5755,East New York,2,40.67256,-73.86919,52788498
5756,Midtown,3,40.74677628,-73.9889123,91388362
5757,Midtown,3,40.74706,-73.98799,64907507
5758,West Village,3,40.73659,-74.00578,97892574
5759,East Village,3,40.72733,-73.98419,18836532
5760,East Village,3,40.72968,-73.98515,78000609
5761,Greenwich Village,3,40.72928,-74.00107,54076605
5762,Hell's Kitchen,3,40.7544,-73.99684,98971675
5763,Washington Heights,3,40.83197,-73.94286,10107067
